qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
723,Executive privilege ,0.1443,2,relevancefeedback.topn10.bm25,0.2957,executive privilege privileg document staff attornei presid ,docluster.topn10.3.bm25,0.2596,executive privilege document staff presid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra ,0.2083,3,relevancefeedback.topn10.bm25,0.2988,iran contra defend cia   casei record ,docluster.topn10.3.bm25,0.2935,iran contra casei cia ,thesaurus.topn3,0.2331,iran contra   about face again ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count ,0.2997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs ,0.5387,1,thesaurus.topn3,0.5436,hubble telescope repairs   abbreviate constrict  adjustment improvement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson ,0.4169,2,wordnet.topn3,0.498,church arson Christian church church building church service incendiarism fire raising ,sensedisambiguation,0.4681,Church church service arson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered ,0.4563,1,docluster.topn10.3.bm25,0.4944,whales save endangered whale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense ,0.0033,12,tagmee.topn3.replace,0.1468,Whistleblower United States Department of Defense ,glove.topn3,0.0852,whistle blower department defense blowing whistleblower administration defence ,word2vec.topn3,0.0498,whistle blower department defense swanee whistle blowing dept defence ,glove.topn3.replace,0.0386,blowing whistleblower administration defence ,tagmee.topn3,0.0319,whistle blower department defense Whistleblower United States Department of Defense ,conceptluster.topn5.3.bm25,0.0319,whistle blower department defense united states department defense whistleblower ,thesaurus.topn3,0.0204,whistle blower department defense  blare hiss  blowhard blusterer  administration agency  aegis armor ,word2vec.topn3.replace,0.0091,swanee whistle blowing dept defence ,stem.paicehusk,0.0077,whistl blow depart of defens ,termluster.topn5.3.bm25,0.0071,whistle blower department defense said new govern depart govern said whistl said new ,anchor.topn3.replace,0.0055,whistle blowers   journalist  car siegel coop mayotte presid nano fifth gener defense ,wiki.topn3,0.0054,whistle blower department defense grounds for termination of employment insider trading conflict of interest Whistleblower nuclear weapons infrastructure of the united states military industrial complex government agencies established in      United States Department of Defense ,,,,,,,,,,,,
730,Gastric bypass complications ,0.4506,4,tagmee.topn3,0.4696,gastric bypass complications Gastric bypass surgery Complication  medicine ,conceptluster.topn5.3.bm25,0.4696,gastric bypass complications gastric bypass surgery complication medicine ,docluster.topn10.3.bm25,0.4694,gastric bypass complications you weight surgeri ,termluster.topn5.3.bm25,0.4584,gastric bypass complications bypass complic obes complic gastric obes weight veri surgeri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history ,0.2741,8,word2vec.topn3,0.3945,kurds history kurdish history ,glove.topn3,0.3755,kurds history kurdish sunnis historical ever ,conceptnet.topn3.replace,0.3399,kurds past subject school ,termluster.topn5.3.bm25,0.3392,kurds history iraq ,conceptnet.topn3,0.3277,kurds history past subject school ,stem.lovins,0.3162,kurd histor ,thesaurus.topn3.replace,0.3107,kurds  past antiquity ,sensedisambiguation,0.2861,Kurds kurd history ,,,,,,,,,,,,,,,,,,,,,,,,
732,U S  cheese production ,0.1021,7,word2vec.topn3,0.223,u s  cheese production usa u s american cheddar producing ,glove.topn3,0.2189,u s  cheese production us u s cheddar producing produced ,glove.topn3.replace,0.1958,us u s cheddar producing produced ,word2vec.topn3.replace,0.1838,usa u s american cheddar producing ,termluster.topn5.3.bm25,0.1556,u s  cheese production year unit state year unit state ,relevancefeedback.topn10.bm25,0.1079,u s  cheese production milk cooper u  import chees ,docluster.topn10.3.bm25,0.1079,u s  cheese production cooper milk u  import chees ,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking ,0.2893,5,termluster.topn5.3.bm25,0.3793,airline overbooking ticket overbook flight ticket flight airlin ,tagmee.topn3,0.3465,airline overbooking Airline Overselling ,conceptluster.topn5.3.bm25,0.3277,airline overbooking overselling ,docluster.topn10.3.bm25,0.2943,airline overbooking airlin you ,relevancefeedback.topn10.bm25,0.2899,airline overbooking airlin consum you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes ,0.235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition ,0.2393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections ,0.621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis ,0.6091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes ,0.6016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity ,0.157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland ,0.2476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence ,0.0914,2,wordnet.topn3,0.099,artificial intelligence contrived unreal stilted news intelligence agency ,sensedisambiguation,0.0979,Artificial Intelligence news ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection ,0.3035,5,stem.trunc5,0.4641,hedge funds fraud prote ,tagmee.topn3,0.3843,hedge funds fraud protection Hedge fund Fraud Security  finance ,conceptluster.topn5.3.bm25,0.3843,hedge funds fraud protection security finance fraud hedge fund ,tagmee.topn3.replace,0.3755,Hedge fund Fraud Security  finance ,docluster.topn10.3.bm25,0.3317,hedge funds fraud protection fund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration ,0.0147,8,conceptluster.topn5.3.bm25,0.05,freighter ship registration ship registration cargo ship ,tagmee.topn3,0.0459,freighter ship registration Cargo ship Cargo ship Ship registration ,glove.topn3,0.038,freighter ship registration ship vessel voter identification ,word2vec.topn3,0.0341,freighter ship registration cargo tanker vessel warship registering ,wordnet.topn3,0.0187,freighter ship registration bottom merchantman transport embark adjustment enrollment ,anchor.topn3,0.0187,freighter ship registration d    cl   a    improv kommuna   cunnari communa ,termluster.topn5.3.bm25,0.0177,freighter ship registration ship state freighter state ,stem.lovins,0.0159,freighter ship register ,,,,,,,,,,,,,,,,,,,,,,,,
744,Counterfeit ID punishments ,0.0201,2,glove.topn3,0.0923,counterfeit id punishments fake identification meted ,stem.paicehusk,0.0356,counterfeit id pun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Doomsday cults ,0.3247,6,conceptnet.topn3,0.3962,doomsday cults Judgment Day doom synchromysticism ,sensedisambiguation,0.3898,Doomsday judgment day cults fad ,wordnet.topn3,0.3839,doomsday cults Judgement Day Day of Judgement craze religious cult fad ,thesaurus.topn3,0.3711,doomsday cults  Judgment Day Last Day  band church ,wiki.topn3,0.3379,doomsday cults unification church neologisms mind control messiah complex Doomsday cult ,tagmee.topn3,0.3248,doomsday cults Doomsday cult ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India ,0.2773,2,anchor.topn3,0.4592,outsource job india yustino        ndugai nilgri india histori olatpur ,wiki.topn3,0.3309,outsource job india market share takeover restructuring Outsourcing psychopathy in thworkplace gold collar worker job description Job states and territories established in      india hindustani speaking countries and territories India ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight ,0.0641,3,termluster.topn5.3.bm25,0.1018,library computer oversight year workstat staff year workstat staff also assist comput ,docluster.topn10.3.bm25,0.0791,library computer oversight cost comput ,tagmee.topn3,0.0763,library computer oversight Library Computer Regulation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types ,0.2877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state ,0.3428,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues ,0.0639,1,conceptluster.topn5.3.bm25,0.0665,john edwards womens issues issues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Scrabble Players ,0.3073,1,stem.paicehusk,0.3126,scrabbl play ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Dam removal ,0.5598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,bullying prevention programs ,0.2657,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,domestic adoption laws ,0.0637,1,docluster.topn10.3.bm25,0.1003,domestic adoption laws law adopt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.4699,4,termluster.topn5.3.bm25,0.6187,scottish highland games game highland competit game scottish competit scottish highland competit ,tagmee.topn3,0.4923,scottish highland games Scottish people Highland games Highland games ,conceptluster.topn5.3.bm25,0.4741,scottish highland games scottish people highland games ,tagmee.topn3.replace,0.4736,Scottish people Highland games Highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2111,1,docluster.topn10.3.bm25,0.2278,murals mural your ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6814,2,relevancefeedback.topn10.bm25,0.6884,embryonic stem cells cell ,docluster.topn10.3.bm25,0.6884,embryonic stem cells cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.2298,10,termluster.topn5.3.bm25,0.3804,american muslim mosques schools also muslim center also american center unit peopl part york washington state ,word2vec.topn3,0.3691,american muslim mosques schools british america islamic moslem masjids colleges universities ,stem.krovetz,0.3093,america muslim mosque school ,wiki.topn3.replace,0.3082,american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,conceptnet.topn3,0.3076,american muslim mosques schools dollar ijma places to learn things an eraser classrooms ,wiki.topn3,0.3051,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,tagmee.topn3,0.2849,american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab ,conceptluster.topn5.3.bm25,0.2849,american muslim mosques schools muslim islam united states madhhab americans mosque ,wordnet.topn3,0.2827,american muslim mosques schools American English American language Islamic Moslem schooltime school day train ,tagmee.topn3.replace,0.2824,Americans Islam in the United States Muslim Mosque Madhhab ,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.5638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Hunting deaths ,0.1228,2,glove.topn3,0.3576,hunting deaths hunters fatalities ,glove.topn3.replace,0.1683,hunters fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Increase mass transit use ,0.1246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths ,0.4654,8,thesaurus.topn3,0.5031,ephedra huang deaths    afterlife annihilation ,termluster.topn5.3.bm25,0.4989,ephedra huang deaths advers case contain advers case contain supplement public product ,relevancefeedback.topn10.bm25,0.4974,ephedra ma huang deaths ephedrin drug heart product supplement ,glove.topn3,0.4971,ephedra huang deaths ephedrine supplements cheng yu fatalities ,tagmee.topn3,0.4859,ephedra huang deaths Ephedra sinica Death ,conceptluster.topn5.3.bm25,0.4859,ephedra huang deaths death ephedra sinica ,docluster.topn10.3.bm25,0.4732,ephedra ma huang deaths ephedrin supplement ,sensedisambiguation,0.4695,ephedra ma huang deaths end ,,,,,,,,,,,,,,,,,,,,,,,,
766,diamond smuggling ,0.4403,5,tagmee.topn3,0.5393,diamond smuggling Diamond Blood diamond Smuggling ,conceptluster.topn5.3.bm25,0.5393,diamond smuggling diamond smuggling blood diamond ,wiki.topn3,0.5044,diamond smuggling impact event minerals abrasives semiconductor materials Diamond politics of liberia people extradited from liberia people extradited from sierra leone Blood diamond contraband customs sabotage Smuggling ,termluster.topn5.3.bm25,0.5015,diamond smuggling action address africa year world work ,tagmee.topn3.replace,0.501,Diamond Blood diamond Smuggling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements ,0.4662,1,sensedisambiguation,0.4671,Pharmacist License requirements requirement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Women in state legislatures ,0.1086,1,termluster.topn5.3.bm25,0.1964,women state legislatures legislatur senat state legislatur senat women women state senat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees ,0.0074,5,conceptnet.topn3.replace,0.0322,kroll associates a company the office company ,wiki.topn3,0.0145,kroll associates employees general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,conceptnet.topn3,0.0133,kroll associates employees a company the office company ,tagmee.topn3,0.0076,kroll associates employees Kroll Inc ,conceptluster.topn5.3.bm25,0.0076,kroll associates employees kroll inc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan United States relations ,0.4702,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs ,0.5366,2,termluster.topn5.3.bm25,0.7121,deformed leopard frogs northern limb leopard deform frog northern northern limb leopard ,relevancefeedback.topn10.bm25,0.6294,deformed leopard frogs frog hind deform rana limb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,flag display rules ,0.2818,4,termluster.topn5.3.bm25,0.3305,flag display rules abov ani anoth unit union uniform ,word2vec.topn3,0.327,flag display rules flag  regulations laws ,relevancefeedback.topn10.bm25,0.3073,flag display rules displai ,word2vec.topn3.replace,0.2973,flag  display regulations laws ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling ,0.5595,8,anchor.topn3,0.8337,pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ ,termluster.topn5.3.bm25,0.8159,pennsylvania slot machine gambling ani case citat bureau charg control three state slot within violat video ,sensedisambiguation,0.7482,Pennsylvania university of pennsylvania slot machine gambling gamble ,docluster.topn10.3.bm25,0.6448,pennsylvania slot machine gambling machin license ,anchor.topn3.replace,0.6416,pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ machine gambling ,relevancefeedback.topn10.bm25,0.5885,pennsylvania slot machine gambling court machin licens license ,conceptnet.topn3,0.5703,pennsylvania slot machine gambling PA an apple tree slot machine ,conceptnet.topn3.replace,0.565,PA an apple tree slot machine machine gambling ,,,,,,,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness ,0.3057,2,tagmee.topn3,0.3413,causes homelessness Paralysis Homelessness ,termluster.topn5.3.bm25,0.3145,causes homelessness would well transit situat shelter servic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Commercial candy makers ,0.4179,2,tagmee.topn3,0.4611,commercial candy makers Candy ,conceptluster.topn5.3.bm25,0.4611,commercial candy makers candy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Magnet schools success ,0.3178,3,relevancefeedback.topn10.bm25,0.3672,magnet schools success school   student ,sensedisambiguation,0.3348,Magnet schools school success ,docluster.topn10.3.bm25,0.3348,magnet schools success school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars ,0.3462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,golden ratio ,0.1284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Javelinas range and description ,0.5286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Arable land ,0.4222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Squirrel control and protections ,0.4122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Orange varieties seasons ,0.7065,2,relevancefeedback.topn10.bm25,0.7672,orange varieties seasons crop orang box fruit grapefruit ,docluster.topn10.3.bm25,0.733,orange varieties seasons fruit box grapefruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,school mercury poisoning ,0.0702,8,glove.topn3,0.1675,school mercury poisoning students piyanart srivalo contamination ,relevancefeedback.topn10.bm25,0.1208,school mercury poisoning new children mercuri household minnesota ,tagmee.topn3.replace,0.102,Shoaling and schooling Mercury poisoning ,docluster.topn10.3.bm25,0.1007,school mercury poisoning children new mercuri ,termluster.topn5.3.bm25,0.0926,school mercury poisoning center children environment school poison new school new mercuri ,tagmee.topn3,0.0786,school mercury poisoning Shoaling and schooling Mercury poisoning ,conceptluster.topn5.3.bm25,0.0786,school mercury poisoning shoaling schooling mercury poisoning ,wordnet.topn3,0.0705,school mercury poisoning schooltime school day train atomic number    envenom toxic condition ,,,,,,,,,,,,,,,,,,,,,,,,
784,mersenne primes ,0.4458,3,docluster.topn10.3.bm25,0.4866,mersenne primes prime number gener ,termluster.topn5.3.bm25,0.4583,mersenne primes prime number number mersenn ,sensedisambiguation,0.4563,mersenne primes prime ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Ivory billed woodpecker ,0.3274,1,termluster.topn5.3.bm25,0.3881,ivory billed woodpecker speci ivori extinct ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Yew trees ,0.4179,1,sensedisambiguation,0.4508,Yew trees tree ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Sunflower Cultivation ,0.6141,2,docluster.topn10.3.bm25,0.6306,sunflower cultivation sunflow ,relevancefeedback.topn10.bm25,0.6249,sunflower cultivation sunflow energi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Reverse mortgages ,0.5735,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,abandoned mine reclamation ,0.2294,1,termluster.topn5.3.bm25,0.2578,abandoned mine reclamation western site reclam abandon coal pennsylvania western site reclaim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,women s rights in Saudi Arabia ,0.4895,2,docluster.topn10.3.bm25,0.4923,women s rights in saudi arabia govern ,conceptluster.topn5.3.bm25,0.4896,women  s rights saudi arabia women  s rights saudi arabia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Gullah geechee language culture ,0.4695,11,wiki.topn3,0.5639,gullah geechee language culture gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,wiki.topn3.replace,0.5435,gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,stem.porter,0.5268,gullah geeche languag cultur ,stem.porter2,0.5268,gullah geeche languag cultur ,termluster.topn5.3.bm25,0.5231,gullah geechee language culture geeche nation countri site nation gullah ,tagmee.topn3.replace,0.5141,Gullah Gullah Gullah language Culture ,anchor.topn3,0.5125,gullah geechee language culture gullah  island binyah ambelau ,anchor.topn3.replace,0.5082,gullah  island binyah ambelau geechee language culture ,conceptluster.topn5.3.bm25,0.5022,gullah geechee language culture gullah language culture ,tagmee.topn3,0.4944,gullah geechee language culture Gullah Gullah Gullah language Culture ,word2vec.topn3,0.4702,gullah geechee language culture langauge traditions ,,,,,,,,,,,,,,,
792,Social Security means test ,0.1308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Bagpipe Bands ,0.3595,2,tagmee.topn3,0.3665,bagpipe bands Bagpipes Military band ,conceptluster.topn5.3.bm25,0.3665,bagpipe bands military band bagpipes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
