qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
311,Industrial Espionage ,0.4382,1,relevancefeedback.topn10.bm25,0.489,industrial espionage compani bnd mr foreign intellig samsung vw mossad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.7595,2,termluster.topn5.3.bm25,0.8182,magnetic levitation maglev train ,relevancefeedback.topn10.bm25,0.8024,magnetic levitation maglev magnet railwai la would project car train said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0028,4,tagmee.topn3,0.0469,marine vegetation Ocean Vegetation ,wiki.topn3,0.0379,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,conceptluster.topn5.3.bm25,0.036000000000000004,marine vegetation ocean ,conceptnet.topn3,0.0074,marine vegetation suboceanic plant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0298,3,relevancefeedback.topn10.bm25,0.0326,unexplained highway accidents accid feder pch car mainland highwai said ,sensedisambiguation,0.0319,Unexplained Highway Accidents accident ,termluster.topn5.3.bm25,0.0304,unexplained highway accidents year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.5865,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.5142,2,sensedisambiguation,0.5799,Unsolicited unasked Faxes facsimile ,termluster.topn5.3.bm25,0.5158,unsolicited faxes machin said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0079,1,glove.topn3,0.0087,best retirement country well better nation already ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.0932,5,relevancefeedback.topn10.bm25,0.1703,new fuel sources nuclear said oil   cell ,docluster.topn10.3.bm25,0.1564,new fuel sources said cell ,anchor.topn3,0.1295,new fuel sources bibalayeva forms new yappin  fuel inject mixed oxid gas motor ,anchor.topn3.replace,0.1035,bibalayeva forms new yappin  fuel inject mixed oxid gas motor sources ,termluster.topn5.3.bm25,0.0996,new fuel sources sourc polici polici fuel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0333,11,thesaurus.topn3.replace,0.0798,undersea  grain thread  ocular optical  cord link ,anchor.topn3,0.0754,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,wordnet.topn3.replace,0.0725,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,word2vec.topn3,0.0644,undersea fiber optic cable deep sea underwater fibre cable TV ,termluster.topn5.3.bm25,0.0595,undersea fiber optic cable cabl system telecommun telecommun system optic ,anchor.topn3.replace,0.0576,uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu cable ,thesaurus.topn3,0.0484,undersea fiber optic cable   grain thread  ocular optical  cord link ,sensedisambiguation,0.0483,Undersea submarine Fiber roughage Optic eye Cable cable television ,relevancefeedback.topn10.bm25,0.0429,undersea fiber optic cable system sprint cabl data ,tagmee.topn3,0.0356,undersea fiber optic cable Submarine communications cable Optical fiber ,conceptluster.topn5.3.bm25,0.0356,undersea fiber optic cable submarine communications cable optical fiber ,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.2835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0022,5,word2vec.topn3,0.0195,international art crime national global domestic artwork artworks criminality ,word2vec.topn3.replace,0.0165,national global domestic artwork artworks criminality ,sensedisambiguation,0.0123,International Art artwork Crime ,sensedisambiguation.replace,0.006999999999999999,international artwork crime ,conceptnet.topn3,0.0053,international art crime supranational painting paint paintings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.1988,2,stem.lovins,0.3369,liter   journ plagiar ,tagmee.topn3,0.2921,literary journalistic plagiarism Literature Journalism Plagiarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.4664,1,stem.krovetz,0.478,argentina   britain relations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.0749,7,wordnet.topn3,0.1824,cult lifestyles craze rage religious cult modus vivendi life style ,anchor.topn3,0.1128,cult lifestyles genestealer reproduct   cult   tsumbubura ,stem.trunc4,0.1025,cult life ,stem.trunc5,0.1025,cult lifes ,glove.topn3,0.1009,cult lifestyles followers sect sedentary ,wiki.topn3,0.0893,cult lifestyles cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,wiki.topn3.replace,0.0858,cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6135,2,relevancefeedback.topn10.bm25,0.6765,ferry sinkings estonia ship ferri safeti said ,docluster.topn10.3.bm25,0.6765,ferry sinkings estonia said ship ferri safeti ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.1216,6,wordnet.topn3,0.3518,modern slavery New Bodoni thrall bondage slaveholding ,thesaurus.topn3,0.3425,modern slavery  contemporary current  bondage captivity ,anchor.topn3.replace,0.2868,burdah jardot  originalité  slavery ,conceptnet.topn3.replace,0.2285,new slavery ,tagmee.topn3,0.1797,modern slavery Slavery Slavery in the United States ,conceptluster.topn5.3.bm25,0.1542,modern slavery slavery united states ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.6552,1,sensedisambiguation,0.6788,Pope Beatifications beatification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.268,2,stem.krovetz,0.3455,mexico air pollution ,relevancefeedback.topn10.bm25,0.305,mexican air pollution citi mexico border ventil economist mr fight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.0956,5,stem.trunc4,0.17600000000000002,iran   iraq coop ,stem.trunc5,0.17600000000000002,iran   iraq coope ,anchor.topn3,0.1455,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,anchor.topn3.replace,0.12,iran iraq iran iraq  eritrean ethiopian cooperation ,docluster.topn10.3.bm25,0.115,iran iraq cooperation we iran iraq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.2462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.1219,4,wiki.topn3,0.2056,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.1386,Tax evasion Tax evasion ,tagmee.topn3,0.1375,income tax evasion Tax evasion Tax evasion ,conceptluster.topn5.3.bm25,0.1342,income tax evasion tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.2798,12,sensedisambiguation,0.3303,Antibiotics antibiotic Bacteria Disease ,relevancefeedback.topn10.bm25,0.313,antibiotics bacteria disease antibiot pneumonia strep plagu diseas syndrom tb tick infect ,docluster.topn10.3.bm25,0.3122,antibiotics bacteria disease plagu tb diseas ,tagmee.topn3,0.3083,antibiotics bacteria disease Antibiotics Bacteria Infection ,wiki.topn3,0.3065,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,tagmee.topn3.replace,0.3028,Antibiotics Bacteria Infection ,wiki.topn3.replace,0.2979,bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,stem.porter,0.2921,antibiot bacteria diseas ,stem.porter2,0.2921,antibiot bacteria diseas ,wordnet.topn3,0.2866,antibiotics bacteria disease antibiotic drug bacterium ,termluster.topn5.3.bm25,0.2814,antibiotics bacteria disease year infect diseas antibiot diseas infect year infect bacteria ,conceptluster.topn5.3.bm25,0.2802,antibiotics bacteria disease infection ,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.1111,5,word2vec.topn3,0.3398,export controls cryptography import encryption cryptographic cryptology ,word2vec.topn3.replace,0.2931,import controls encryption cryptographic cryptology ,glove.topn3,0.1333,export controls cryptography import cryptographic public key ,wiki.topn3,0.1163,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,wiki.topn3.replace,0.1119,outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.3128,5,relevancefeedback.topn10.bm25,0.4243,adoptive biological parents her adopt child sabol she said ,docluster.topn10.3.bm25,0.3963,adoptive biological parents adopt her she ,sensedisambiguation,0.3844,Adoptive Biological Parents parent ,tagmee.topn3,0.3695,adoptive biological parents Adoption Biology Parent ,conceptnet.topn3,0.3221,adoptive biological parents natural name children name their babies family ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.0459,5,conceptnet.topn3,0.0867,black bear attacks oil coal color animal grizzly polar narcolepsy ,tagmee.topn3,0.0495,black bear attacks American black bear Bear attack ,conceptluster.topn5.3.bm25,0.0495,black bear attacks american black bear bear attack ,tagmee.topn3.replace,0.0493,American black bear Bear attack ,wiki.topn3,0.0481,black bear attacks bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.2965,3,relevancefeedback.topn10.bm25,0.3708,viral hepatitis hepat health caus diseas region omit percent liver vaccinia ,word2vec.topn3,0.3497,viral hepatitis bacterial phylodynamics HCV anti hepatitis ,thesaurus.topn3.replace,0.3299,aggressive energetic hepatitis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.4212,2,relevancefeedback.topn10.bm25,0.5,risk of aspirin stroke sai kidnei ,termluster.topn5.3.bm25,0.4298,risk aspirin patient ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer s Drug Treatment ,0.2188,4,conceptluster.topn5.3.bm25,0.2746,alzheimer  s drug treatment psychoactive drug addiction alzheimer  s disease ,stem.lovins,0.2732,alzheimer   s drug treatm ,stem.paicehusk,0.2704,alzheim   s drug tre ,relevancefeedback.topn10.bm25,0.2438,alzheimer s drug treatment alzheim dollar diseas group summer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0993,1,termluster.topn5.3.bm25,0.1206,land mine ban ban mine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security ,0.2754,1,relevancefeedback.topn10.bm25,0.2973,airport security secur passeng ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.1331,4,termluster.topn5.3.bm25,0.2643,diplomatic expulsion said offici expuls said offici expel ,docluster.topn10.3.bm25,0.2571,diplomatic expulsion soviet u ,glove.topn3,0.2474,diplomatic expulsion relations expelled expel ,glove.topn3.replace,0.1835,relations expelled expel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths ,0.0118,6,word2vec.topn3.replace,0.0627,cops policemen fatalities killings ,word2vec.topn3,0.0577,police deaths cops policemen fatalities killings ,glove.topn3,0.0302,police deaths officers policemen fatalities ,glove.topn3.replace,0.0205,officers policemen fatalities ,relevancefeedback.topn10.bm25,0.0192,police deaths said taser death webster year offic polic ,docluster.topn10.3.bm25,0.0121,police deaths year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E Mail ,0.1513,9,sensedisambiguation,0.3673,Abuses misuse of E Mail electronic mail ,sensedisambiguation.replace,0.3549,misuse of electronic mail ,stem.lovins,0.3126,abus of e   mail ,stem.paicehusk,0.3126,abus of e   mail ,stem.porter,0.3126,abus of e   mail ,stem.porter2,0.3126,abus of e   mail ,stem.trunc4,0.3126,abus of e   mail ,docluster.topn10.3.bm25,0.2069,abuses of e mail mail ,wordnet.topn3,0.2002,abuses e mail vilification ill treatment maltreat electronic mail netmail ,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales ,0.1139,7,docluster.topn10.3.bm25,0.1922,overseas tobacco sales compani dollar ,termluster.topn5.3.bm25,0.1763,overseas tobacco sales compani sale cigarett tobacco market compani ,relevancefeedback.topn10.bm25,0.1699,overseas tobacco sales compani dollar have it ,thesaurus.topn3,0.1568,overseas tobacco sales   cigarette crop  auction business ,glove.topn3,0.1467,overseas tobacco sales abroad elsewhere cigarette cigarettes retail selling ,word2vec.topn3,0.1418,overseas tobacco sales abroad stateside cigarettes smoking marketing ,tagmee.topn3,0.1401,overseas tobacco sales Tobacco Sales tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards ,0.0916,1,relevancefeedback.topn10.bm25,0.1876,educational standards standard school nation test english univers letter he ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1688,1,conceptnet.topn3.replace,0.1807,wildlife inaction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia ,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism ,0.184,2,relevancefeedback.topn10.bm25,0.2426,metabolism metabol you chemic ici children brain resist dollar ,thesaurus.topn3,0.1956,metabolism  body existence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.0875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.3996,11,relevancefeedback.topn10.bm25,0.6239,falkland petroleum exploration island oil argentina ga ,wiki.topn3.replace,0.6209,falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,wiki.topn3,0.6033,falkland petroleum exploration falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,conceptnet.topn3.replace,0.5988,falkland sound falkland islander falkland islands oil rock oil exploration ,conceptnet.topn3,0.5541,falkland petroleum exploration falkland sound falkland islander falkland islands oil rock oil ,anchor.topn3.replace,0.4696,okino tori shima dispute post war malvinas falkland shahne   petroleum oil exploration ,tagmee.topn3,0.4542,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration ,conceptluster.topn5.3.bm25,0.4542,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum ,docluster.topn10.3.bm25,0.4433,falkland petroleum exploration oil argentina ga ,tagmee.topn3.replace,0.4416,Falkland Islands Petroleum Hydrocarbon exploration ,anchor.topn3,0.4347,falkland petroleum exploration okino tori shima dispute post war malvinas falkland shahne   petroleum oil ,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact ,0.0466,4,wordnet.topn3.replace,0.3217,Brits British people Channel Tunnel wallop bear upon shock ,relevancefeedback.topn10.bm25,0.2788,british chunnel impact project tunnel govern freight ha life i have contract ,wordnet.topn3,0.2582,british chunnel impact Brits British people Channel Tunnel bear upon bear on wallop ,conceptnet.topn3,0.049,british chunnel impact lift road ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration ,0.2344,8,glove.topn3,0.4166,antarctica exploration antarctic greenland ,stem.paicehusk,0.3997,antarctic expl ,stem.lovins,0.3449,antarctic explor ,word2vec.topn3,0.3331,antarctica exploration antarctic antartica antartic exploratory ,word2vec.topn3.replace,0.3086,antarctic antartica antartic exploratory ,wordnet.topn3,0.2924,antarctica exploration Antarctic continent geographic expedition ,glove.topn3.replace,0.2729,antarctic greenland exploration ,wordnet.topn3.replace,0.2381,Antarctic continent geographic expedition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,journalist risks ,0.0423,1,anchor.topn3,0.0737,journalist risks wrigley mil  faj  journalists ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.1362,2,relevancefeedback.topn10.bm25,0.3341,ocean remote sensing satellit studi observ research m marin he system develop ,docluster.topn10.3.bm25,0.2204,ocean remote sensing observ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0063,15,word2vec.topn3.replace,0.1268,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,glove.topn3.replace,0.1027,premenopausal post menopausal progesterone hormone british uk ,glove.topn3,0.0609,postmenopausal estrogen britain premenopausal post menopausal progesterone hormone british uk ,wiki.topn3.replace,0.0563,endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,word2vec.topn3,0.0545,postmenopausal estrogen britain post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,tagmee.topn3.replace,0.0511,Menopause Estrogen ,wiki.topn3,0.0469,postmenopausal estrogen britain endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,tagmee.topn3,0.0374,postmenopausal estrogen britain Menopause Estrogen ,conceptluster.topn5.3.bm25,0.0374,postmenopausal estrogen britain estrogen menopause ,relevancefeedback.topn10.bm25,0.0232,postmenopausal estrogen britain women calcium medic   bone ,docluster.topn10.3.bm25,0.0197,postmenopausal estrogen britain women calcium bone ,stem.porter,0.0067,postmenopaus estrogen britain ,stem.porter2,0.0067,postmenopaus estrogen britain ,termluster.topn5.3.bm25,0.0067,postmenopausal estrogen britain take ,anchor.topn3,0.0064,postmenopausal estrogen britain androgen estrogens  nortestosteron           drywall ,,,,,,,,,
357,territorial waters dispute ,0.2593,2,relevancefeedback.topn10.bm25,0.3113,territorial waters dispute rockal vietnam corpor law china russian area it ,docluster.topn10.3.bm25,0.2965,territorial waters dispute vietnam china ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood alcohol fatalities ,0.2399,10,thesaurus.topn3.replace,0.3951,blood alcohol  accident casualty ,tagmee.topn3,0.3206,blood alcohol fatalities Blood alcohol content Death ,conceptluster.topn5.3.bm25,0.3206,blood alcohol fatalities death blood alcohol content ,tagmee.topn3.replace,0.3198,Blood alcohol content Death ,thesaurus.topn3,0.3051,blood alcohol fatalities   accident casualty ,relevancefeedback.topn10.bm25,0.302,blood alcohol fatalities ornela drunk drink giunta mann said rausi barsumyan alcohol driver ,wiki.topn3,0.3015,blood alcohol fatalities corporattitle driving under thinfluence amway Blood alcohol content life senescence disease Death ,docluster.topn10.3.bm25,0.265,blood alcohol fatalities mann said ,wordnet.topn3.replace,0.2565,blood alcohol human death ,glove.topn3,0.2487,blood alcohol fatalities mangxamba gahsh deaths ,,,,,,,,,,,,,,,,,,,,,,,,
359,mutual fund predictors ,0.02,9,wiki.topn3,0.0366,mutual fund predictors fixed income assets under management exchange traded fund Mutual fund ,wordnet.topn3,0.032,mutual fund predictors reciprocal common investment company investment firm store forecaster soothsayer ,tagmee.topn3.replace,0.0303,Mutual fund ,tagmee.topn3,0.0302,mutual fund predictors Mutual fund ,wiki.topn3.replace,0.0302,fixed income assets under management exchange traded fund Mutual fund ,conceptluster.topn5.3.bm25,0.0302,mutual fund predictors mutual fund ,stem.trunc4,0.027999999999999997,mutu fund pred ,stem.trunc5,0.027000000000000003,mutua fund predi ,glove.topn3,0.0268,mutual fund predictors trust investments money exemplars ,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,drug legalization benefits ,0.1698,6,stem.trunc5,0.3721,drug legal benef ,word2vec.topn3,0.2254,drug legalization benefits narcotics legalisation decriminalization advantages detriments ,glove.topn3,0.1967,drug legalization benefits trafficking decriminalization moreover ,tagmee.topn3,0.1952,drug legalization benefits Drug liberalization Welfare ,conceptluster.topn5.3.bm25,0.1952,drug legalization benefits drug liberalization welfare ,wordnet.topn3,0.1739,drug legalization benefits dose do drugs legalisation legitimation gain do good welfare ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
