qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
311,Industrial Espionage ,0.6528,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.9159,1,word2vec.topn3,0.9329,hydroponics aeroponic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.8259,2,wordnet.topn3,0.8399,magnetic levitation maglev magnetised charismatic ,thesaurus.topn3,0.8383,magnetic levitation maglev  hypnotic irresistible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0009,5,tagmee.topn3,0.0525,marine vegetation Ocean Vegetation ,wiki.topn3,0.0515,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,conceptluster.topn5.3.bm25.rm3,0.0387,marine vegetation ocean ,conceptnet.topn3,0.0146,marine vegetation suboceanic plant ,thesaurus.topn3,0.0029,marine vegetation  aquatic coastal  flora greenery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.4992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.5099,2,sensedisambiguation,0.6142,Unsolicited unasked Faxes facsimile ,termluster.topn5.3.bm25.rm3,0.5343,unsolicited faxes machin said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.2448,1,relevancefeedback.topn10.bm25.rm3,0.27899999999999997,new fuel sources   energi said design power nuclear cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0303,9,thesaurus.topn3.replace,0.0847,undersea  grain thread  ocular optical  cord link ,wordnet.topn3.replace,0.069,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,word2vec.topn3,0.0689,undersea fiber optic cable deep sea underwater fibre cable TV ,anchor.topn3,0.0672,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,conceptnet.topn3.replace,0.0533,undersea cotton wool eye ocular cable ,sensedisambiguation,0.0528,Undersea submarine Fiber roughage Optic eye Cable cable television ,sensedisambiguation.replace,0.0526,submarine roughage eye cable television ,thesaurus.topn3,0.0324,undersea fiber optic cable   grain thread  ocular optical  cord link ,conceptnet.topn3,0.0311,undersea fiber optic cable cotton wool eye ocular ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.3407,2,docluster.topn10.3.bm25.rm3,0.39,women in parliaments would parti ,termluster.topn5.3.bm25.rm3,0.3769,women parliaments parliament parti elect women parti elect ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0014,8,word2vec.topn3,0.0073,international art crime national global domestic artwork artworks criminality ,sensedisambiguation.replace,0.0069,international artwork crime ,sensedisambiguation,0.006,International Art artwork Crime ,word2vec.topn3.replace,0.0058,national global domestic artwork artworks criminality ,wiki.topn3,0.003,international art crime lsuicidé maya with doll les raboteurs dparquet Art and Crime ,tagmee.topn3.replace,0.002,Art and Crime ,conceptnet.topn3,0.0017,international art crime supranational painting paint paintings ,glove.topn3,0.0015,international art crime global which museum criminal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.2299,4,stem.lovins,0.4063,liter   journ plagiar ,tagmee.topn3,0.3292,literary journalistic plagiarism Literature Journalism Plagiarism ,tagmee.topn3.replace,0.2603,Literature Journalism Plagiarism ,word2vec.topn3,0.2308,literary journalistic plagiarism plagarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.5261,8,stem.krovetz,0.6399,argentina   britain relations ,glove.topn3.replace,0.5937,argentine british ties relationship ,thesaurus.topn3.replace,0.5734,argentine british  relationship affiliation ,wiki.topn3,0.5558,argentine british relations Argentina United Kingdom relations ,tagmee.topn3,0.5558,argentine british relations Argentina United Kingdom relations ,conceptluster.topn5.3.bm25.rm3,0.5558,argentine british relations argentina united kingdom relations ,thesaurus.topn3,0.5389,argentine british relations   relationship affiliation ,word2vec.topn3,0.5362,argentine british relations relationships ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.1698,6,wordnet.topn3,0.2191,cult lifestyles craze rage religious cult modus vivendi life style ,wiki.topn3,0.2157,cult lifestyles cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,anchor.topn3,0.1948,cult lifestyles genestealer reproduct   cult   tsumbubura ,wiki.topn3.replace,0.18899999999999997,cults anti cult terms and concepts occult Cult lifestyle lifestylmagazine travel Lifestyle  sociology ,relevancefeedback.topn10.bm25.rm3,0.1879,cult lifestyles her said he chilton ,tagmee.topn3,0.18600000000000003,cult lifestyles Cult Lifestyle  sociology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.1142,6,thesaurus.topn3,0.479,modern slavery  contemporary current  bondage captivity ,wordnet.topn3,0.4286,modern slavery New Bodoni thrall bondage slaveholding ,anchor.topn3.replace,0.2621,burdah jardot  originalité  slavery ,tagmee.topn3,0.2384,modern slavery Slavery Slavery in the United States ,conceptluster.topn5.3.bm25.rm3,0.1967,modern slavery slavery united states ,conceptnet.topn3.replace,0.1589,new slavery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.4545,2,sensedisambiguation,0.4996,Pope Beatifications beatification ,conceptnet.topn3.replace,0.4687,Alexander Pope beatifications ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.3737,1,docluster.topn10.3.bm25.rm3,0.4373,mexican air pollution mexico fight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.1232,5,stem.trunc4,0.2114,iran   iraq coop ,stem.trunc5,0.2114,iran   iraq coope ,anchor.topn3.replace,0.1686,iran iraq iran iraq  eritrean ethiopian cooperation ,anchor.topn3,0.1273,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,thesaurus.topn3,0.127,iran iraq cooperation   aid assistance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.3219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.0924,4,wiki.topn3,0.2803,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.1925,Tax evasion Tax evasion ,tagmee.topn3,0.1197,income tax evasion Tax evasion Tax evasion ,conceptluster.topn5.3.bm25.rm3,0.1092,income tax evasion tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.3197,14,sensedisambiguation,0.3603,Antibiotics antibiotic Bacteria Disease ,wiki.topn3,0.359,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,wiki.topn3.replace,0.3509,bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,stem.lovins,0.348,antibiot bacter diseas ,stem.paicehusk,0.348,antibiot bacter diseas ,stem.porter,0.3466,antibiot bacteria diseas ,stem.porter2,0.3466,antibiot bacteria diseas ,docluster.topn10.3.bm25.rm3,0.3427,antibiotics bacteria disease strep infect plagu tb diseas ,anchor.topn3,0.3357,antibiotics bacteria disease homoaconitas lignin digest nitrite oxid ,thesaurus.topn3,0.3353,antibiotics bacteria disease  penicillin amoxicillin  bacilli germs  Cancer bug ,termluster.topn5.3.bm25.rm3,0.3322,antibiotics bacteria disease peopl diseas caus infect year peopl antibiot ,tagmee.topn3.replace,0.3317,Antibiotics Bacteria Infection ,tagmee.topn3,0.3304,antibiotics bacteria disease Antibiotics Bacteria Infection ,word2vec.topn3,0.3235,antibiotics bacteria disease anti biotics antimicrobials microbes microorganisms bacterium infection ,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.1358,7,relevancefeedback.topn10.bm25.rm3,0.4016,export controls cryptography us china ii code he encrypt ,word2vec.topn3.replace,0.4009,import controls encryption cryptographic cryptology ,word2vec.topn3,0.3561,export controls cryptography import encryption cryptographic cryptology ,glove.topn3,0.2309,export controls cryptography import cryptographic public key ,wiki.topn3,0.1931,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,tagmee.topn3,0.1698,export controls cryptography Cryptography ,wiki.topn3.replace,0.1565,outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.5041,4,termluster.topn5.3.bm25.rm3,0.6204,adoptive biological parents said parent mother said mother child ,sensedisambiguation,0.5243,Adoptive Biological Parents parent ,tagmee.topn3,0.523,adoptive biological parents Adoption Biology Parent ,conceptluster.topn5.3.bm25.rm3,0.5106,adoptive biological parents adoption biology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.0286,8,tagmee.topn3,0.1014,black bear attacks American black bear Bear attack ,conceptluster.topn5.3.bm25.rm3,0.1014,black bear attacks american black bear bear attack ,wiki.topn3,0.0489,black bear attacks bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,wiki.topn3.replace,0.0473,bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,conceptnet.topn3,0.0405,black bear attacks oil coal color animal grizzly polar narcolepsy ,stem.trunc5,0.039,black bear attac ,glove.topn3,0.03,black bear attacks white dark grizzly bombings ,tagmee.topn3.replace,0.0297,American black bear Bear attack ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.3307,1,thesaurus.topn3.replace,0.3564,aggressive energetic hepatitis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.5047,2,wiki.topn3,0.5052,risk aspirin risk assessment optimism bias risk management Risk antiplatelet drugs salicylates nausea Aspirin ,wiki.topn3.replace,0.5049,risk assessment optimism bias risk management Risk antiplatelet drugs salicylates nausea Aspirin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer s Drug Treatment ,0.1727,2,stem.lovins,0.2491,alzheimer   s drug treatm ,stem.paicehusk,0.2491,alzheim   s drug tre ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0858,2,sensedisambiguation,0.1161,Land state Mine Ban prohibition ,anchor.topn3,0.092,land mine ban      technohub marinefährprahm tavarua hakkari   стрезовце  un sg gnai al boqami ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security ,0.2412,1,sensedisambiguation,0.2789,Airport Security security system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.271,4,termluster.topn5.3.bm25.rm3,0.3137,diplomatic expulsion soviet said order soviet said order ,sensedisambiguation,0.2881,Diplomatic Expulsion extrusion ,glove.topn3,0.2849,diplomatic expulsion relations expelled expel ,wordnet.topn3,0.281,diplomatic expulsion forcing out extrusion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths ,0.0098,7,word2vec.topn3.replace,0.0427,cops policemen fatalities killings ,glove.topn3,0.0349,police deaths officers policemen fatalities ,word2vec.topn3,0.0337,police deaths cops policemen fatalities killings ,wordnet.topn3.replace,0.0241,constabulary patrol police force decease demise ,docluster.topn10.3.bm25.rm3,0.0208,police deaths year offic said ,glove.topn3.replace,0.0151,officers policemen fatalities ,sensedisambiguation,0.0101,Police Deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E Mail ,0.1641,1,sensedisambiguation.replace,0.2008,misuse of electronic mail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales ,0.2167,1,sensedisambiguation,0.2232,Overseas oversea Tobacco Sales sale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards ,0.1178,2,termluster.topn5.3.bm25.rm3,0.1711,educational standards year teacher standard year teacher educ ,sensedisambiguation,0.1211,Educational Standards standard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1877,4,conceptnet.topn3.replace,0.3325,wildlife inaction ,thesaurus.topn3,0.2279,wildlife extinction  body existence  annihilation destruction ,termluster.topn5.3.bm25.rm3,0.2223,wildlife extinction speci said protect ,wordnet.topn3,0.2046,wildlife extinction defunctness extinguishing extermination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia ,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism ,0.1868,4,relevancefeedback.topn10.bm25.rm3,0.2343,metabolism metabol you chemic children ici brain resist ,glove.topn3,0.1928,metabolism uptake ,thesaurus.topn3,0.1878,metabolism  body existence ,wordnet.topn3,0.1873,metabolism metamorphosis metabolic process ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.1601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.5747,14,word2vec.topn3,0.7217,falkland petroleum exploration malvinas islands  oil hydrocarbon hydrocarbons exploratory ,relevancefeedback.topn10.bm25.rm3,0.703,falkland petroleum exploration oil ga argentina island ,termluster.topn5.3.bm25.rm3,0.6949,falkland petroleum exploration argentina island oil ,anchor.topn3.replace,0.691,okino tori shima dispute post war malvinas falkland shahne   petroleum oil exploration ,wiki.topn3,0.6823,falkland petroleum exploration falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,docluster.topn10.3.bm25.rm3,0.6814,falkland petroleum exploration oil argentina ,tagmee.topn3.replace,0.6792,Falkland Islands Petroleum Hydrocarbon exploration ,wiki.topn3.replace,0.6779999999999999,falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,anchor.topn3,0.6429,falkland petroleum exploration okino tori shima dispute post war malvinas falkland shahne   petroleum oil ,conceptnet.topn3.replace,0.6399,falkland sound falkland islander falkland islands oil rock oil exploration ,tagmee.topn3,0.6352,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration ,conceptluster.topn5.3.bm25.rm3,0.6352,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum ,conceptnet.topn3,0.62,falkland petroleum exploration falkland sound falkland islander falkland islands oil rock oil ,glove.topn3,0.6032,falkland petroleum exploration dependencies oil exporting ,,,,,,,,,,,,,,,,,,
352,British Chunnel impact ,0.3926,2,relevancefeedback.topn10.bm25.rm3,0.418,british chunnel impact project tunnel govern ha contract i freight submit ,sensedisambiguation,0.4035,British Chunnel impact shock ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration ,0.2774,15,word2vec.topn3,0.5087,antarctica exploration antarctic antartica antartic exploratory ,glove.topn3,0.5069,antarctica exploration antarctic greenland ,wordnet.topn3,0.43200000000000005,antarctica exploration Antarctic continent geographic expedition ,tagmee.topn3.replace,0.4103,Antarctica Arctic exploration ,stem.paicehusk,0.4068,antarctic expl ,stem.lovins,0.4048,antarctic explor ,tagmee.topn3,0.395,antarctica exploration Antarctica Arctic exploration ,wiki.topn3,0.3949,antarctica exploration antarctica antarctiregion polar regions of the earth Antarctica list of arctic expeditions boothia peninsula wikipedia wikiproject arctic Arctic exploration ,word2vec.topn3.replace,0.3941,antarctic antartica antartic exploratory ,wordnet.topn3.replace,0.3882,Antarctic continent geographic expedition ,thesaurus.topn3,0.3859,antarctica exploration   analysis examination ,thesaurus.topn3.replace,0.3567,antarctica  analysis examination ,glove.topn3.replace,0.3437,antarctic greenland exploration ,anchor.topn3,0.3403,antarctica exploration willana anudeorum potyi ,conceptnet.topn3,0.2891,antarctica exploration ice a continent ,,,,,,,,,,,,,,,
354,journalist risks ,0.0818,2,anchor.topn3,0.132,journalist risks wrigley mil  faj  journalists ,glove.topn3,0.0923,journalist risks reporter photographer dangers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.3475,2,anchor.topn3,0.3887,ocean remote sensing biarculu williamcarl marthesiusali ,docluster.topn10.3.bm25.rm3,0.3657,ocean remote sensing observ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0228,20,glove.topn3.replace,0.0946,premenopausal post menopausal progesterone hormone british uk ,word2vec.topn3.replace,0.0907,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,word2vec.topn3,0.0791,postmenopausal estrogen britain post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,wiki.topn3.replace,0.0762,endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,glove.topn3,0.0687,postmenopausal estrogen britain premenopausal post menopausal progesterone hormone british uk ,tagmee.topn3.replace,0.0635,Menopause Estrogen ,wiki.topn3,0.0555,postmenopausal estrogen britain endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,tagmee.topn3,0.0499,postmenopausal estrogen britain Menopause Estrogen ,conceptluster.topn5.3.bm25.rm3,0.0499,postmenopausal estrogen britain estrogen menopause ,anchor.topn3.replace,0.0342,postmenopausal androgen estrogens  nortestosteron           drywall ,anchor.topn3,0.0336,postmenopausal estrogen britain androgen estrogens  nortestosteron           drywall ,sensedisambiguation,0.0298,postmenopausal estrogen Britain united kingdom ,sensedisambiguation.replace,0.0276,postmenopausal estrogen united kingdom ,stem.porter,0.0259,postmenopaus estrogen britain ,stem.porter2,0.0259,postmenopaus estrogen britain ,relevancefeedback.topn10.bm25.rm3,0.0256,postmenopausal estrogen britain women calcium medic   bone i fractur ,termluster.topn5.3.bm25.rm3,0.0245,postmenopausal estrogen britain take ,thesaurus.topn3,0.0243,postmenopausal estrogen britain    Commonwealth of Nations England ,thesaurus.topn3.replace,0.0243,postmenopausal estrogen  Commonwealth of Nations England ,docluster.topn10.3.bm25.rm3,0.0238,postmenopausal estrogen britain women bone fractur 
357,territorial waters dispute ,0.4456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood alcohol fatalities ,0.3293,3,thesaurus.topn3.replace,0.3952,blood alcohol  accident casualty ,thesaurus.topn3,0.377,blood alcohol fatalities   accident casualty ,wordnet.topn3.replace,0.3651,blood alcohol human death ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,mutual fund predictors ,0.012,8,wordnet.topn3,0.0285,mutual fund predictors reciprocal common investment company investment firm store forecaster soothsayer ,wiki.topn3.replace,0.0255,fixed income assets under management exchange traded fund Mutual fund ,wiki.topn3,0.0247,mutual fund predictors fixed income assets under management exchange traded fund Mutual fund ,tagmee.topn3.replace,0.0246,Mutual fund ,tagmee.topn3,0.0232,mutual fund predictors Mutual fund ,stem.krovetz,0.0232,mutual fund predict ,conceptluster.topn5.3.bm25.rm3,0.0232,mutual fund predictors mutual fund ,glove.topn3,0.021,mutual fund predictors trust investments money exemplars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
