qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
336,Black Bear Attacks ,0.0897,5,tagmee.topn3,0.0956,black bear attacks American black bear Bear attack ,conceptluster.topn5.3.qld,0.0956,black bear attacks american black bear bear attack ,wiki.topn3,0.0955,black bear attacks bobcat grizzly bear american bison American black bear kashmir stag mount abu wildlifsanctuary free ranging dog Bear attack ,relevancefeedback.topn10.qld,0.0944,black bear attacks he said offic mr have ,conceptnet.topn3,0.0911,black bear attacks oil coal color animal grizzly polar narcolepsy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.275,4,word2vec.topn3,0.3577,viral hepatitis bacterial phylodynamics HCV anti hepatitis ,relevancefeedback.topn10.qld,0.3562,viral hepatitis hepat health region diseas worker caus percent omit vaccinia ,thesaurus.topn3.replace,0.294,aggressive energetic hepatitis ,wiki.topn3,0.2868,viral hepatitis opportunistic infection attenuated vaccine rapid plasma reagin Viral hepatitis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.4212,1,termluster.topn5.3.qld,0.5221,risk aspirin patient ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer s Drug Treatment ,0.179,4,conceptluster.topn5.3.qld,0.2112,alzheimer  s drug treatment psychoactive drug addiction alzheimer  s disease ,termluster.topn5.3.qld,0.2014,alzheimer  s drug treatment treatment patient drug alzheim patient treatment alzheim drug patient ,stem.lovins,0.1902,alzheimer   s drug treatm ,docluster.topn10.3.qld,0.1818,alzheimer s drug treatment diseas alzheim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security ,0.2279,5,relevancefeedback.topn10.qld,0.2387,airport security secur passeng hotel ,docluster.topn10.3.qld,0.2306,airport security secur ,tagmee.topn3,0.228,airport security Airport security ,termluster.topn5.3.qld,0.228,airport security secur airport ,conceptluster.topn5.3.qld,0.228,airport security airport security ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.14300000000000002,4,termluster.topn5.3.qld,0.2511,diplomatic expulsion said offici expuls said offici expel ,glove.topn3,0.2446,diplomatic expulsion relations expelled expel ,glove.topn3.replace,0.1745,relations expelled expel ,docluster.topn10.3.qld,0.1435,diplomatic expulsion countri iraqi soviet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths ,0.0134,5,word2vec.topn3.replace,0.0519,cops policemen fatalities killings ,word2vec.topn3,0.0419,police deaths cops policemen fatalities killings ,glove.topn3,0.0236,police deaths officers policemen fatalities ,glove.topn3.replace,0.0162,officers policemen fatalities ,relevancefeedback.topn10.qld,0.0155,police deaths taser death said webster polic offic bralei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E Mail ,0.2864,9,sensedisambiguation.replace,0.4443,misuse of electronic mail ,sensedisambiguation,0.3321,Abuses misuse of E Mail electronic mail ,stem.lovins,0.3245,abus of e   mail ,stem.paicehusk,0.3245,abus of e   mail ,stem.porter,0.3245,abus of e   mail ,stem.porter2,0.3245,abus of e   mail ,stem.trunc4,0.3245,abus of e   mail ,thesaurus.topn3,0.2982,abuses e mail  corruption crime  email E message ,docluster.topn10.3.qld,0.2963,abuses of e mail mail ,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales ,0.1024,7,docluster.topn10.3.qld,0.1697,overseas tobacco sales compani dollar ,termluster.topn5.3.qld,0.1657,overseas tobacco sales cigarett market sale year tobacco market ,relevancefeedback.topn10.qld,0.1655,overseas tobacco sales compani dollar per have ,glove.topn3,0.153,overseas tobacco sales abroad elsewhere cigarette cigarettes retail selling ,word2vec.topn3,0.1395,overseas tobacco sales abroad stateside cigarettes smoking marketing ,thesaurus.topn3,0.1355,overseas tobacco sales   cigarette crop  auction business ,glove.topn3.replace,0.1096,abroad elsewhere cigarette cigarettes retail selling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards ,0.0675,3,relevancefeedback.topn10.qld,0.1695,educational standards school nation standard educ test ,termluster.topn5.3.qld,0.1069,educational standards standard school nation school nation educ ,docluster.topn10.3.qld,0.0771,educational standards school nation educ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1379,1,termluster.topn5.3.qld,0.1931,wildlife extinction state speci extinct wildlif state speci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia ,0.81,2,relevancefeedback.topn10.qld,0.9429,agoraphobia schulz plai i mental he missil ,glove.topn3,0.8262,agoraphobia claustrophobia hypochondria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism ,0.1893,1,relevancefeedback.topn10.qld,0.2275,metabolism metabol you chemic resist ici brain children dollar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.05,1,termluster.topn5.3.qld,0.0563,health computer terminals report ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.3956,8,wiki.topn3.replace,0.5937,falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,relevancefeedback.topn10.qld,0.5849,falkland petroleum exploration island oil argentina ga ,wiki.topn3,0.5837,falkland petroleum exploration falkland islands list of falkland islands related topics index of falkland islands related articles Falkland Islands glassforming liquids and melts oil natural gas Petroleum extraction of petroleum tight oil oil in place Hydrocarbon exploration ,conceptnet.topn3.replace,0.5762,falkland sound falkland islander falkland islands oil rock oil exploration ,conceptnet.topn3,0.5479,falkland petroleum exploration falkland sound falkland islander falkland islands oil rock oil ,tagmee.topn3,0.4502,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration ,conceptluster.topn5.3.qld,0.4502,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum ,docluster.topn10.3.qld,0.4139,falkland petroleum exploration oil argentina ga ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact ,0.0489,5,relevancefeedback.topn10.qld,0.2695,british chunnel impact tunnel freight govern ha de project region hous contract ,wordnet.topn3.replace,0.1994,Brits British people Channel Tunnel wallop bear upon shock ,wordnet.topn3,0.1718,british chunnel impact Brits British people Channel Tunnel bear upon bear on wallop ,conceptnet.topn3,0.0572,british chunnel impact lift road ,word2vec.topn3,0.0548,british chunnel impact britsh american Britsh eurostar trainline effect influence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration ,0.2341,6,glove.topn3,0.3875,antarctica exploration antarctic greenland ,stem.lovins,0.3227,antarctic explor ,word2vec.topn3,0.3194,antarctica exploration antarctic antartica antartic exploratory ,word2vec.topn3.replace,0.3096,antarctic antartica antartic exploratory ,stem.paicehusk,0.3015,antarctic expl ,wordnet.topn3,0.2863,antarctica exploration Antarctic continent geographic expedition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,journalist risks ,0.0473,1,anchor.topn3,0.0661,journalist risks wrigley mil  faj  journalists ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.1292,3,relevancefeedback.topn10.qld,0.3103,ocean remote sensing satellit studi research observ he marin system agricultur product ,docluster.topn10.3.qld,0.2351,ocean remote sensing observ ,termluster.topn5.3.qld,0.1539,ocean remote sensing develop system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0062,16,word2vec.topn3.replace,0.0936,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,glove.topn3.replace,0.0772,premenopausal post menopausal progesterone hormone british uk ,wiki.topn3.replace,0.0571,endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,glove.topn3,0.0524,postmenopausal estrogen britain premenopausal post menopausal progesterone hormone british uk ,tagmee.topn3.replace,0.0524,Menopause Estrogen ,wiki.topn3,0.0442,postmenopausal estrogen britain endometriosis hormontherapy fragilx syndrome Menopause hormones of the brain androgen receptor follicle stimulating hormone Estrogen ,word2vec.topn3,0.0441,postmenopausal estrogen britain post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british ,tagmee.topn3,0.0366,postmenopausal estrogen britain Menopause Estrogen ,conceptluster.topn5.3.qld,0.0366,postmenopausal estrogen britain estrogen menopause ,docluster.topn10.3.qld,0.0201,postmenopausal estrogen britain women calcium bone ,relevancefeedback.topn10.qld,0.0193,postmenopausal estrogen britain women calcium medic   bone brain ,sensedisambiguation.replace,0.0087,postmenopausal estrogen united kingdom ,stem.porter,0.0066,postmenopaus estrogen britain ,stem.porter2,0.0066,postmenopaus estrogen britain ,anchor.topn3,0.0064,postmenopausal estrogen britain androgen estrogens  nortestosteron           drywall ,termluster.topn5.3.qld,0.0064,postmenopausal estrogen britain take ,,,,,,
357,territorial waters dispute ,0.1578,2,relevancefeedback.topn10.qld,0.2063,territorial waters dispute rockal vietnam corpor area law water palestinian china japan ,glove.topn3,0.159,territorial waters dispute sovereignty seas ocean resolved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood alcohol fatalities ,0.1925,8,thesaurus.topn3.replace,0.3269,blood alcohol  accident casualty ,relevancefeedback.topn10.qld,0.2758,blood alcohol fatalities drink drunk ornela giunta mann said alcohol driver rausi barsumyan ,tagmee.topn3.replace,0.2622,Blood alcohol content Death ,tagmee.topn3,0.2618,blood alcohol fatalities Blood alcohol content Death ,conceptluster.topn5.3.qld,0.2618,blood alcohol fatalities death blood alcohol content ,wiki.topn3,0.2392,blood alcohol fatalities corporattitle driving under thinfluence amway Blood alcohol content life senescence disease Death ,docluster.topn10.3.qld,0.2265,blood alcohol fatalities driver drunk mann said ,thesaurus.topn3,0.2199,blood alcohol fatalities   accident casualty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,mutual fund predictors ,0.0166,14,wiki.topn3,0.0428,mutual fund predictors fixed income assets under management exchange traded fund Mutual fund ,tagmee.topn3.replace,0.0408,Mutual fund ,tagmee.topn3,0.0401,mutual fund predictors Mutual fund ,conceptluster.topn5.3.qld,0.0401,mutual fund predictors mutual fund ,wiki.topn3.replace,0.0365,fixed income assets under management exchange traded fund Mutual fund ,glove.topn3,0.035,mutual fund predictors trust investments money exemplars ,stem.krovetz,0.0327,mutual fund predict ,stem.trunc4,0.0313,mutu fund pred ,stem.trunc5,0.0303,mutua fund predi ,wordnet.topn3,0.0212,mutual fund predictors reciprocal common investment company investment firm store forecaster soothsayer ,stem.lovins,0.0203,mutu fund predictor ,thesaurus.topn3.replace,0.0183,mutual  capital endowment  prognosticator seer ,thesaurus.topn3,0.0174,mutual fund predictors   capital endowment  prognosticator seer ,relevancefeedback.topn10.qld,0.0174,mutual fund predictors would market sai predict invest mr rate law kit ,,,,,,,,,,,,
360,drug legalization benefits ,0.2287,3,stem.trunc5,0.2991,drug legal benef ,word2vec.topn3,0.2539,drug legalization benefits narcotics legalisation decriminalization advantages detriments ,glove.topn3,0.2328,drug legalization benefits trafficking decriminalization moreover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
