qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
711,Train station security measures ,0.0699,3,rm3.topn10.10.0.5.bm25,0.1062,veteran measur polic train bart secur transport transit station personnel attack ,onfields.topn3.10.4.0.25.bm25,0.0899,"{'measur': 2, 'secur': 2, 'train': 2, 'station': 2, 'bu': 2.0, 'transport': 1.759, 'bomb': 1.702, 'attack': 1.686, 'terrorist': 1.414, 'passeng': 1.304, 'respons': 1.304, 'kill': 1.298, 'mineta': 1.252, 'explos': 1.132} ",tagmee.topn3,0.0796,train station security measures Train station Airport security ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.3337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs ,0.1519,1,sensedisambiguation,0.1675,Schizophrenia drugs drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue ,0.0857,6,tagmee.topn3,0.182,spammer arrest sue Spamming Arrest Lawsuit ,conceptluster.topn5.3.bm25,0.182,spammer arrest sue spamming arrest lawsuit ,tagmee.topn3.replace,0.1066,Spamming Arrest Lawsuit ,sensedisambiguation,0.1015,Spammer arrest halt sue ,sensedisambiguation.replace,0.0944,spammer halt sue ,onfields.topn3.10.4.0.25.bm25,0.0886,"{'sue': 2, 'arrest': 2, 'spammer': 2, 'spam': 2.0, 'consum': 1.356, 'email': 1.326, 'legisl': 1.296, 'isp': 1.23, 'legitim': 1.141, 'ftc': 1.133, 'provis': 1.074, 'ecommerc': 1.067, 'optout': 1.059} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Gifted talented student programs ,0.3544,2,relevancefeedback.topn10.bm25,0.3632,gifted talented student programs gift ,docluster.topn10.3.bm25,0.3632,gifted talented student programs gift ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain ,0.3409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life ,0.0658,7,bertqe.topn10.bm25,0.1616,"{'Cruise ship damage sea life': 1.5, 'cruise ships sensitive ecosystems16': 1.0, 'marine pollution cruise ships ': 0.9615384615384615, 'impacts cruise ships': 0.30769230769230765, 'smoke damage  cruise ship': 0.4615384615384615, 'toxic hazardous cruise ship': 0.38461538461538464} ",glove.topn3,0.1057,cruise ship damage sea life ship vessel caused ocean waters lives even ,onfields.topn3.10.4.0.25.bm25,0.1023,"{'life': 2, 'sea': 2, 'damag': 2, 'ship': 2, 'cruis': 2, 'wast': 1.51, 'discharg': 1.497, 'marin': 1.325, 'pollut': 1.304, 'coast': 1.271, 'vessel': 1.24, 'sewag': 1.173, 'microlay': 1.134, 'marpol': 1.082} ",tagmee.topn3,0.0796,cruise ship damage sea life Cruise ship Marine biology ,anchor.topn3,0.0771,cruise ship damage sea life kommuna   cunnari communa   normalhöhennul  trsa    vega apicomplexan kdblife nánjīng    small ,conceptluster.topn5.3.bm25,0.0719,cruise ship damage sea life marine biology ,word2vec.topn3,0.0678,cruise ship damage sea life small ship vessel warship damange harm ocean lives life   life ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform ,0.2768,1,docluster.topn10.3.bm25,0.2985,federal welfare reform welfar state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications ,0.0217,3,docluster.topn10.3.bm25,0.0388,census data applications censu ,thesaurus.topn3,0.0328,census data applications  enumeration poll  dossier evidence  function operation ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.0269,"{'applic': 2, 'data': 2, 'censu': 2, 'that': 2.0, 'compton': 1.116, 'decis': 1.087, 'nowakowski': 1.087, 'undercount': 1.072, 'purchas': 1.058, 'strategist': 1.058, 'curland': 1.043, 'gadt': 1.043, 'highspe': 1.029, 'flurri': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism ,0.4206,1,word2vec.topn3,0.4314,iran terrorism iranian Iran  iran  terrorist ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege ,0.1443,3,relevancefeedback.topn10.bm25,0.2957,executive privilege privileg document staff attornei presid ,docluster.topn10.3.bm25,0.2596,executive privilege document staff presid ,rm3.topn10.10.0.5.bm25,0.1574,attornei staff redact committe court counsel presid presidenti shall privileg execut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra ,0.2083,5,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.3312,"{'contra': 2, 'iran': 2, 'reagan': 2.0, 'irancontra': 1.8, 'poindext': 1.64, 'hous': 1.24, 'advis': 1.16, 'releas': 1.12, 'nield': 1.08, 'inkl': 1.08, 'contrag': 1.04, 'exwhit': 1.04, 'defiantli': 1.0} ",relevancefeedback.topn10.bm25,0.2988,iran contra defend cia   casei record ,rm3.topn10.10.0.5.bm25,0.2963,cia hi affair casei      iran contra fiction book ,docluster.topn10.3.bm25,0.2935,iran contra casei cia ,thesaurus.topn3,0.2331,iran contra   about face again ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count ,0.2997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs ,0.5387,1,thesaurus.topn3,0.5436,hubble telescope repairs   abbreviate constrict  adjustment improvement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson ,0.4169,2,wordnet.topn3,0.498,church arson Christian church church building church service incendiarism fire raising ,sensedisambiguation,0.4681,Church church service arson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered ,0.4563,1,docluster.topn10.3.bm25,0.4944,whales save endangered whale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense ,0.0033,15,tagmee.topn3.replace,0.1468,Whistleblower United States Department of Defense ,glove.topn3,0.0852,whistle blower department defense blowing whistleblower administration defence ,word2vec.topn3,0.0498,whistle blower department defense swanee whistle blowing dept defence ,glove.topn3.replace,0.0386,blowing whistleblower administration defence ,tagmee.topn3,0.0319,whistle blower department defense Whistleblower United States Department of Defense ,conceptluster.topn5.3.bm25,0.0319,whistle blower department defense united states department defense whistleblower ,bertqe.topn10.bm25,0.0246,"{'Whistle blower department of defense': 1.5, 'whistleblower information disclosed 1530016 investigation': 1.0, 'federal intervention whistleblower': 0.8806699232379624, 'facearial  helvetica  sansserif size2   b  section 18500  whistle blower ': 0.3838101884159111, 'whistleblower lawsuit lockheed': 0.3635729239357989, 'whistleblowers qui tam': 0.3014654570830428} ",thesaurus.topn3,0.0204,whistle blower department defense  blare hiss  blowhard blusterer  administration agency  aegis armor ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.0126,"{'of': 2, 'depart': 2, 'blower': 2, 'whistl': 2, 'defens': 2, 'whistleblow': 1.645, 'northrop': 1.548, 'fitzgerald': 1.516, 'decis': 1.419, 'fals': 1.387, 'pfaelzer': 1.258, 'glazer': 1.226, 'pentagonist': 1.161, 'penina': 1.097} ",word2vec.topn3.replace,0.0091,swanee whistle blowing dept defence ,stem.paicehusk,0.0077,whistl blow depart of defens ,termluster.topn5.3.bm25,0.0071,whistle blower department defense said new govern depart govern said whistl said new ,anchor.topn3.replace,0.0055,whistle blowers   journalist  car siegel coop mayotte presid nano fifth gener defense ,wiki.topn3,0.0054,whistle blower department defense grounds for termination of employment insider trading conflict of interest Whistleblower nuclear weapons infrastructure of the united states military industrial complex government agencies established in      United States Department of Defense ,onfields.topn3.10.4.0.25.bm25,0.0054,"{'of': 2, 'depart': 2, 'blower': 2, 'whistl': 2, 'said': 2.0, 'defens': 2, 'lockhe': 1.852, 'suit': 1.778, 'paducah': 1.667, 'whistleblow': 1.667, 'martin': 1.481, 'egan': 1.296, 'extens': 1.296, 'fals': 1.222, 'bartleman': 1.148} ",,,,,,,,,
730,Gastric bypass complications ,0.4506,6,rm3.topn10.10.0.5.bm25,0.5254,surgic complic patient stomach procedur weight bypass gastric loss surgeri obes ,onfields.topn3.10.4.0.25.bm25,0.5048,"{'complic': 2, 'weight': 2.0, 'bypass': 2, 'gastric': 2, 'stomach': 1.557, 'pouch': 1.228, 'exercis': 1.177, 'surgeri': 1.177, 'selfselect': 1.165, '2vs1': 1.139, '95ci': 1.101, 'rouxeni': 1.0} ",tagmee.topn3,0.4696,gastric bypass complications Gastric bypass surgery Complication  medicine ,conceptluster.topn5.3.bm25,0.4696,gastric bypass complications gastric bypass surgery complication medicine ,docluster.topn10.3.bm25,0.4694,gastric bypass complications you weight surgeri ,termluster.topn5.3.bm25,0.4584,gastric bypass complications bypass complic obes complic gastric obes weight veri surgeri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history ,0.2741,10,word2vec.topn3,0.3945,kurds history kurdish history ,glove.topn3,0.3755,kurds history kurdish sunnis historical ever ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.3583,"{'histori': 2, 'kurd': 2, 'will': 1.419, 'kurdistan': 1.323, 'kurdish': 1.315, 'husayn': 1.129, 'selfrul': 1.089, 'belov': 1.073, 'mikhaylov': 1.073, 'kadyr': 1.073, 'traitor': 1.056, 'struggler': 1.04} ",conceptnet.topn3.replace,0.3399,kurds past subject school ,termluster.topn5.3.bm25,0.3392,kurds history iraq ,conceptnet.topn3,0.3277,kurds history past subject school ,stem.lovins,0.3162,kurd histor ,thesaurus.topn3.replace,0.3107,kurds  past antiquity ,bertqe.topn10.bm25,0.2902,"{'Kurds history': 1.5, ' hrefsearchdkurds  iraq  history  20thcenturydkurdsiraqhistory20thcentury5  10  bframeset  ffdkurdshistory  11   kurds history  a    strong ': 1.0, 'hrefsearchdkurds  iraq  history  20thcenturydkurdsiraqhistory20thcentury5  10  bbrowse  kurds  iraq  history': 0.0, ' hrefsearchdkurds  middleeast  juvenileliteraturedkurdsmiddleeastjuvenileliterature5  10  bframeset  ffdkurdsturkeyhistory20thcentury  11   kurds turkey history 20th': 0.0, ' hrefsearchdkurds  iraq  history  20thcenturydkurdsiraqhistory20thcentury5  10  bframeset  ffdkurdsiraqdrama  11   kurds iraq drama  a  ': 0.0, 'hrefsearchdkurds  turkey  history  20thcenturydkurdsturkeyhistory20thcentury5  10  bbrowse  kurds  turkey  history': 0.0} ",sensedisambiguation,0.2861,Kurds kurd history ,,,,,,,,,,,,,,,,,,,,,,,,
732,U S  cheese production ,0.1021,7,word2vec.topn3,0.223,u s  cheese production usa u s american cheddar producing ,glove.topn3,0.2189,u s  cheese production us u s cheddar producing produced ,glove.topn3.replace,0.1958,us u s cheddar producing produced ,word2vec.topn3.replace,0.1838,usa u s american cheddar producing ,termluster.topn5.3.bm25,0.1556,u s  cheese production year unit state year unit state ,relevancefeedback.topn10.bm25,0.1079,u s  cheese production milk cooper u  import chees ,docluster.topn10.3.bm25,0.1079,u s  cheese production cooper milk u  import chees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking ,0.2893,8,rm3.topn10.10.0.5.bm25,0.4499,travel overbook oig consum airlin flight bump fare passeng air ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.3979,"{'airlin': 2, 'overbook': 2, 'bump': 1.405, 'noshow': 1.214, 'there': 1.167, 'compens': 1.143, 'brobeck': 1.143, 'isnt': 1.071, 'schimizu': 1.048, 'fullfar': 1.048, 'deniedboard': 1.048} ",termluster.topn5.3.bm25,0.3793,airline overbooking ticket overbook flight ticket flight airlin ,bertqe.topn10.bm25,0.3698,"{'Airline overbooking': 1.5, 'flight overbooked  airline': 1.0, 'overbooked  airline looking': 0.909090909090909, 'airlines overbook scheduled': 0.8181818181818181, 'overbooked flights  delayed damaged': 0.36363636363636365, 'regulations governing airline overbooking': 0.36363636363636365} ",tagmee.topn3,0.3465,airline overbooking Airline Overselling ,conceptluster.topn5.3.bm25,0.3277,airline overbooking overselling ,docluster.topn10.3.bm25,0.2943,airline overbooking airlin you ,relevancefeedback.topn10.bm25,0.2899,airline overbooking airlin consum you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes ,0.235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition ,0.2393,1,onfields.topn3.10.4.0.25.bm25,0.2897,"{'condit': 2, 'women': 2, 'afghan': 2, 'afghanistan': 1.446, 'refuge': 1.139, 'ngo': 1.117, 'taliban': 1.083, 'kabul': 1.067, 'loya': 1.053, 'jirga': 1.053, 'usafghan': 1.027, 'ministri': 1.025} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections ,0.621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis ,0.6091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes ,0.6016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity ,0.157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland ,0.2476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence ,0.0914,2,wordnet.topn3,0.099,artificial intelligence contrived unreal stilted news intelligence agency ,sensedisambiguation,0.0979,Artificial Intelligence news ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection ,0.3035,6,stem.trunc5,0.4641,hedge funds fraud prote ,tagmee.topn3,0.3843,hedge funds fraud protection Hedge fund Fraud Security  finance ,conceptluster.topn5.3.bm25,0.3843,hedge funds fraud protection security finance fraud hedge fund ,tagmee.topn3.replace,0.3755,Hedge fund Fraud Security  finance ,onfields.topn3.10.4.0.25.bm25,0.3491,"{'protect': 2, 'fraud': 2, 'fund': 2, 'hedg': 2, 'invest': 1.745, 'regist': 1.306, 'investor': 1.27, 'advis': 1.182, '3c7': 1.041, 'increas': 1.036, 'exclus': 1.036, 'purchas': 1.026, 'brokerdeal': 1.019} ",docluster.topn10.3.bm25,0.3317,hedge funds fraud protection fund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration ,0.0147,9,conceptluster.topn5.3.bm25,0.05,freighter ship registration ship registration cargo ship ,tagmee.topn3,0.0459,freighter ship registration Cargo ship Cargo ship Ship registration ,glove.topn3,0.038,freighter ship registration ship vessel voter identification ,word2vec.topn3,0.0341,freighter ship registration cargo tanker vessel warship registering ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.0197,"{'registr': 2, 'ship': 2, 'freighter': 2, 'tanker': 1.625, 'aground': 1.312, 'elatma': 1.312, 'aktuna': 1.188, 'akcali': 1.188, 'nafia': 1.188, 'miniota': 1.188, 'kavagi': 1.125, 'sharprock': 1.125, 'kozakcioglu': 1.125} ",wordnet.topn3,0.0187,freighter ship registration bottom merchantman transport embark adjustment enrollment ,anchor.topn3,0.0187,freighter ship registration d    cl   a    improv kommuna   cunnari communa ,termluster.topn5.3.bm25,0.0177,freighter ship registration ship state freighter state ,stem.lovins,0.0159,freighter ship register ,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Counterfeit ID punishments ,0.0201,2,glove.topn3,0.0923,counterfeit id punishments fake identification meted ,stem.paicehusk,0.0356,counterfeit id pun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Doomsday cults ,0.3247,6,conceptnet.topn3,0.3962,doomsday cults Judgment Day doom synchromysticism ,sensedisambiguation,0.3898,Doomsday judgment day cults fad ,wordnet.topn3,0.3839,doomsday cults Judgement Day Day of Judgement craze religious cult fad ,thesaurus.topn3,0.3711,doomsday cults  Judgment Day Last Day  band church ,wiki.topn3,0.3379,doomsday cults unification church neologisms mind control messiah complex Doomsday cult ,tagmee.topn3,0.3248,doomsday cults Doomsday cult ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India ,0.2773,3,anchor.topn3,0.4592,outsource job india yustino        ndugai nilgri india histori olatpur ,rm3.topn10.10.0.5.bm25,0.37,va indian job worker outsourc sector global india industri ocwen ,wiki.topn3,0.3309,outsource job india market share takeover restructuring Outsourcing psychopathy in thworkplace gold collar worker job description Job states and territories established in      india hindustani speaking countries and territories India ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight ,0.0641,5,termluster.topn5.3.bm25,0.1018,library computer oversight year workstat staff year workstat staff also assist comput ,docluster.topn10.3.bm25,0.0791,library computer oversight cost comput ,onfields.topn3.10.4.0.25.bm25,0.0766,"{'oversight': 2, 'comput': 2, 'librari': 2, 'propos': 2.0, 'exce': 1.895, 'softwar': 1.733, 'filter': 1.619, 'unknown': 1.552, '100000': 1.467, 'divis': 1.371, 'increas': 1.371, 'respons': 1.19, '314514': 1.114, 'rvlrod005': 1.095} ",tagmee.topn3,0.0763,library computer oversight Library Computer Regulation ,rm3.topn10.10.0.5.bm25,0.0681,exce unknown librari fy comput softwar propos ornl cost fiscal child estim oversight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types ,0.2877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state ,0.3428,1,rm3.topn10.10.0.5.bm25,0.4588,san state juan territori self puerto constitut rico congress mr citizenship ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues ,0.0639,1,conceptluster.topn5.3.bm25,0.0665,john edwards womens issues issues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Scrabble Players ,0.3073,1,stem.paicehusk,0.3126,scrabbl play ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Dam removal ,0.5598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,bullying prevention programs ,0.2657,2,rm3.topn10.10.0.5.bm25,0.3894,school student parent program victim behavior children violenc bulli prevent teacher ,onfields.topn3.10.4.0.25.bm25,0.3834,"{'program': 2, 'prevent': 2, 'school': 2.0, 'bulli': 2, 'student': 1.457, 'behavior': 1.284, 'teacher': 1.226, 'violenc': 1.226, 'victim': 1.216, 'olweu': 1.113, 'nrcss': 1.036, 'antibulli': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,domestic adoption laws ,0.0637,2,docluster.topn10.3.bm25,0.1003,domestic adoption laws law adopt ,onfields.topn3.10.4.0.25.bm25,0.0869,"{'law': 2, 'domest': 2, 'adopt': 2, 'child': 1.81, 'convers': 1.3, 'famili': 1.203, 'provis': 1.174, 'dpc': 1.152, 'esign': 1.097, 'sec99': 1.052, 'pl1782002': 1.052, 'entiti': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.4699,4,termluster.topn5.3.bm25,0.6187,scottish highland games game highland competit game scottish competit scottish highland competit ,tagmee.topn3,0.4923,scottish highland games Scottish people Highland games Highland games ,conceptluster.topn5.3.bm25,0.4741,scottish highland games scottish people highland games ,tagmee.topn3.replace,0.4736,Scottish people Highland games Highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2111,1,docluster.topn10.3.bm25,0.2278,murals mural your ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6814,2,relevancefeedback.topn10.bm25,0.6884,embryonic stem cells cell ,docluster.topn10.3.bm25,0.6884,embryonic stem cells cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
